seed;fold;n_treino;n_teste;accuracy;f1;kappa;auc_roc
42;1;48;16;0.75;0.8;0.5;0.875
42;2;48;16;0.6875;0.7058823529411765;0.375;0.71875
42;3;48;16;0.625;0.625;0.25;0.703125
42;4;48;16;0.8125;0.8;0.625;0.8125
43;1;48;16;0.6875;0.7368421052631579;0.375;0.75
43;2;48;16;0.75;0.8;0.5;0.875
43;3;48;16;0.75;0.75;0.5;0.71875
43;4;48;16;0.875;0.8571428571428571;0.75;0.75
44;1;48;16;0.8125;0.8421052631578947;0.625;1.0
44;2;48;16;0.6875;0.6153846153846154;0.375;0.78125
44;3;48;16;0.6875;0.7058823529411765;0.375;0.65625
44;4;48;16;0.6875;0.6666666666666666;0.375;0.6875
45;1;48;16;0.4375;0.3076923076923077;-0.125;0.390625
45;2;48;16;0.8125;0.8;0.625;0.796875
45;3;48;16;0.9375;0.9333333333333333;0.875;0.875
45;4;48;16;0.5;0.5;0.0;0.625
46;1;48;16;0.75;0.7777777777777778;0.5;0.890625
46;2;48;16;0.75;0.8;0.5;1.0
46;3;48;16;0.625;0.5;0.25;0.53125
46;4;48;16;0.75;0.75;0.5;0.765625
