genotipo;posicao;banda_nm;vip;p_valor;q_fdr
BR16;1;1963;1.263961990367389;9.166370146325798e-47;8.249733131693218e-46
BR16;2;1953;1.2620290626877275;6.982813657610949e-48;1.1298796976404312e-46
BR16;3;1951;1.2592310314129644;8.369479241780972e-48;1.1298796976404312e-46
BR16;4;405;1.2437393733193494;1.4811972727211447e-45;6.66538772724515e-45
BR16;5;1943;1.2394649090737626;1.9334729713342937e-46;1.3050942556506483e-45
BR16;6;1941;1.232389686940598;8.357731038463334e-46;4.5131747607702003e-45
BR16;7;1933;1.1953381216817915;1.0522952590368103e-41;4.058853141999125e-41
BR16;8;1931;1.1849330487989231;1.4913235589774864e-40;5.033217011549016e-40
BR16;9;1923;1.1415127674810908;1.5682152458746276e-36;4.704645737623883e-36
BR16;10;1921;1.131369639495072;1.0468083731057964e-35;2.82638260738565e-35
BR16;11;1528;1.064954257816552;9.245407946526906e-32;2.2693274050566044e-31
BR16;12;1538;1.055854224494991;1.1174597028070403e-31;2.5142843313158406e-31
BR16;13;1351;1.0411309349579576;2.201352472591343e-30;4.2454654828547326e-30
BR16;14;1548;1.0376267356361146;7.1467719136833885e-31;1.484329551303473e-30
BR16;15;1361;0.9751663387902215;7.152524916635358e-23;1.2874544849943644e-22
BR16;16;741;0.8436623398665402;1.91938650333215e-18;3.238964724373003e-18
BR16;17;1370;0.8405016399505757;1.324198773816709e-13;2.1031392290030083e-13
BR16;18;1838;0.7212840981966503;0.03933508723646955;0.04248189421538712
BR16;19;714;0.7150378754602367;0.007355914516688557;0.009027713270481411
BR16;20;711;0.705330840615037;0.027136496211113453;0.030528558237502636
BR16;21;2263;0.7034487577810783;8.249035469228062e-05;0.00011136197883457883
BR16;22;1379;0.6721544255192264;0.00179729801113354;0.0023108117286002655
BR16;23;1380;0.6539650426107114;0.010965098451261332;0.012872072094958954
BR16;24;1641;0.5437789714611634;1.3789109601919498e-09;2.068366440287925e-09
BR16;25;1651;0.47788104712269025;9.011215210499435e-08;1.280541108860446e-07
CD202;1;1480;1.2105645211820315;9.59158642896481e-50;3.730061389041871e-49
CD202;2;2007;1.2032069872199451;2.793025512687078e-57;3.258529764801591e-56
CD202;3;1997;1.2028202245405912;7.542890775601521e-59;1.320005885730266e-57
