seed;fold;n_treino;n_teste;accuracy;f1;kappa;auc_roc
42;1;48;16;0.8125;0.8421052631578947;0.625;0.96875
42;2;48;16;0.8125;0.8421052631578947;0.625;0.96875
42;3;48;16;0.875;0.8888888888888888;0.75;0.96875
42;4;48;16;1.0;1.0;1.0;1.0
43;1;48;16;0.9375;0.9411764705882353;0.875;0.984375
43;2;48;16;0.9375;0.9333333333333333;0.875;1.0
43;3;48;16;0.875;0.8888888888888888;0.75;0.96875
43;4;48;16;0.75;0.8;0.5;1.0
44;1;48;16;0.75;0.6666666666666666;0.5;0.796875
44;2;48;16;0.8125;0.8421052631578947;0.625;1.0
44;3;48;16;0.9375;0.9411764705882353;0.875;1.0
44;4;48;16;0.9375;0.9411764705882353;0.875;1.0
45;1;48;16;0.8125;0.7692307692307693;0.625;0.953125
45;2;48;16;0.9375;0.9411764705882353;0.875;1.0
45;3;48;16;0.6875;0.7619047619047619;0.375;1.0
45;4;48;16;0.9375;0.9411764705882353;0.875;1.0
46;1;48;16;0.875;0.8888888888888888;0.75;1.0
46;2;48;16;0.8125;0.7692307692307693;0.625;0.953125
46;3;48;16;0.8125;0.8421052631578947;0.625;1.0
46;4;48;16;0.875;0.8888888888888888;0.75;1.0
