seed;fold;n_treino;n_teste;accuracy;f1;kappa;auc_roc
42;1;147;49;1.0;1.0;1.0;1.0
42;2;147;49;0.9795918367346939;0.9795918367346939;0.9592006661115737;1.0
42;3;147;49;1.0;1.0;1.0;1.0
42;4;147;49;1.0;1.0;1.0;1.0
43;1;147;49;1.0;1.0;1.0;1.0
43;2;147;49;0.9795918367346939;0.9787234042553191;0.9591326105087573;1.0
43;3;147;49;1.0;1.0;1.0;1.0
43;4;147;49;0.9387755102040817;0.9411764705882353;0.8778054862842892;1.0
44;1;147;49;0.9591836734693877;0.9565217391304348;0.9181969949916527;1.0
44;2;147;49;1.0;1.0;1.0;1.0
44;3;147;49;0.9795918367346939;0.9795918367346939;0.9592006661115737;1.0
44;4;147;49;1.0;1.0;1.0;1.0
45;1;147;49;0.9795918367346939;0.9795918367346939;0.9592006661115737;0.9983333333333333
45;2;147;49;1.0;1.0;1.0;1.0
45;3;147;49;0.9795918367346939;0.9795918367346939;0.9592006661115737;1.0
45;4;147;49;1.0;1.0;1.0;1.0
46;1;147;49;1.0;1.0;1.0;1.0
46;2;147;49;0.9795918367346939;0.9787234042553191;0.9591326105087573;1.0
46;3;147;49;0.9183673469387755;0.9230769230769231;0.8372093023255814;0.9933333333333333
46;4;147;49;1.0;1.0;1.0;1.0
